complete_address,city,price_total,price,rent,rent_sqm,sqm,is_furnished,coords,travel_time
"Kasprzak, Gołonóg Południowy, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",1750.0,1750.0,,38.89,45.0,True,"(50.330374, 19.1848234)",32
"Śródmieście, Katowice, śląskie","Katowice, śląskie",2701.0,2700.0,1.0,47.39,57.0,True,"(50.259795, 19.0217063)",37
"ul. Marii Konopnickiej, Będzin, będziński, śląskie","będziński, śląskie",2142.0,1600.0,542.0,54.92,39.0,True,"(50.31724945, 19.138881491319484)",32
"ul. Katowicka, Bogucice, Katowice, śląskie","Katowice, śląskie",2550.0,1700.0,850.0,54.26,47.0,True,"(50.2576071, 19.0171456)",38
"ul. Polarna, Załęska Hałda-Brynów, Katowice, śląskie","Katowice, śląskie",1500.0,1150.0,350.0,83.33,18.0,True,"(50.2576071, 19.0171456)",38
"ul. Kielecka, Zagórze Południe, Sosnowiec, śląskie","Sosnowiec, śląskie",2300.0,1850.0,450.0,63.89,36.0,True,"(50.27895, 19.1263859)",35
"ul. Mariacka, Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",2502.0,2100.0,402.0,62.55,40.0,True,"(50.27895, 19.1263859)",35
"ul. Katowicka, Mysłowice, śląskie","Mysłowice, śląskie",1350.0,1350.0,,30.68,44.0,True,"(50.2171942, 19.1235153)",36
"ul. 21 Listopada, Czeladź, będziński, śląskie","będziński, śląskie",620.0,620.0,,22.96,27.0,False,"(50.31724945, 19.138881491319484)",32
"ul. Francuska, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",4000.0,3200.0,800.0,65.57,61.0,True,"(50.2576071, 19.0171456)",38
"ul. Uniwersytecka, Śródmieście, Katowice, śląskie","Katowice, śląskie",1550.0,1200.0,350.0,77.5,20.0,True,"(50.2576071, 19.0171456)",38
"Bytków, Siemianowice Śląskie, śląskie","Siemianowice Śląskie, śląskie",2170.0,1800.0,370.0,57.11,38.0,True,"(50.304986, 19.003470627946392)",30
"ul. Piastów, Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",3015.0,2500.0,515.0,51.1,59.0,True,"(50.2576071, 19.0171456)",38
"ul. Adama Śliwki, Niwka, Sosnowiec, śląskie","Sosnowiec, śląskie",2190.0,1690.0,500.0,62.57,35.0,True,"(50.27895, 19.1263859)",35
"ul. Kalinowa, Dańdówka, Sosnowiec, śląskie","Sosnowiec, śląskie",1600.0,1600.0,,32.65,49.0,True,"(50.27895, 19.1263859)",35
"Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",1950.0,1450.0,500.0,52.7,37.0,True,"(50.2727182, 18.9824049)",41
"ul. Szybowcowa, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",2850.0,2400.0,450.0,71.25,40.0,True,"(50.2576071, 19.0171456)",38
"ul. Powstańców, Śródmieście, Katowice, śląskie","Katowice, śląskie",2330.0,1650.0,680.0,93.2,25.0,True,"(50.2576071, 19.0171456)",38
"Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",2800.0,2800.0,,73.68,38.0,True,"(50.2727182, 18.9824049)",41
"ul. gen. Henryka Dąbrowskiego, Centrum, Chorzów, śląskie","Chorzów, śląskie",1650.0,1650.0,,55.0,30.0,True,"(50.2537455, 18.9383126)",40
"ul. gen. Józefa Sowińskiego, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",1870.0,1400.0,470.0,60.32,31.0,True,"(50.2576071, 19.0171456)",38
"Dębowe Tarasy, Dąb, Katowice, śląskie","Katowice, śląskie",2530.0,2150.0,380.0,79.06,32.0,True,"(50.2576071, 19.0171456)",38
"Będzin, będziński, śląskie","będziński, śląskie",1501.0,1500.0,1.0,50.03,30.0,True,"(50.3089738, 19.14141)",30
"ul. Stanisława Witczaka, Śródmieście, Bytom, śląskie","Bytom, śląskie",1800.0,1800.0,,40.91,44.0,True,"(50.342812, 18.9120743)",31
"ul. Sokolska, Koszutka, Katowice, śląskie","Katowice, śląskie",3250.0,2700.0,550.0,73.86,44.0,True,"(50.2576071, 19.0171456)",38
"ul. Marcina Kasprzaka 84, Tworzeń, Gołonóg Wschodni, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",751.0,750.0,1.0,21.46,35.0,True,"(50.330374, 19.1848234)",32
"Klimzowiec, Centrum, Chorzów, śląskie","Chorzów, śląskie",2089.0,1590.0,499.0,56.46,37.0,False,"(50.2859309, 18.9536203)",40
"ul. Stanisława Moniuszki, Śródmieście, Katowice, śląskie","Katowice, śląskie",1689.0,1299.0,390.0,76.77,22.0,True,"(50.2576071, 19.0171456)",38
"ul. Graniczna, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",2001.0,2000.0,1.0,35.73,56.0,True,"(50.2576071, 19.0171456)",38
"ul. Zakładowa 5, Poręba, zawierciański, śląskie","zawierciański, śląskie",2100.0,1500.0,600.0,61.76,34.0,True,"(50.5775652, 19.3412388)",42
"ul.Widok, Dąb, Katowice, śląskie","Katowice, śląskie",2325.0,1700.0,625.0,59.62,39.0,True,"(50.2576071, 19.0171456)",38
"Śródmieście, Katowice, śląskie","Katowice, śląskie",1950.0,1500.0,450.0,62.9,31.0,False,"(50.259795, 19.0217063)",37
"ul. Piastów Bytomskich, Śródmieście, Bytom, śląskie","Bytom, śląskie",1950.0,1300.0,650.0,54.17,36.0,True,"(50.342812, 18.9120743)",31
"ul. Wierzbowa 26, Koszutka, Katowice, śląskie","Katowice, śląskie",2690.0,1990.0,700.0,64.05,42.0,True,"(50.2576071, 19.0171456)",38
"Śródmieście, Katowice, śląskie","Katowice, śląskie",1980.0,1650.0,330.0,94.29,21.0,True,"(50.259795, 19.0217063)",37
"al. Zwycięstwa, Centrum / Śródmieście, Sosnowiec, śląskie","Sosnowiec, śląskie",2240.0,1790.0,450.0,67.88,33.0,True,"(50.27895, 19.1263859)",35
"ul. Zofii Nałkowskiej, Janów-Nikiszowiec, Katowice, śląskie","Katowice, śląskie",2100.0,1700.0,400.0,63.64,33.0,True,"(50.2576071, 19.0171456)",38
"ul. Karola Miarki, Chorzów II, Chorzów, śląskie","Chorzów, śląskie",2540.0,1600.0,940.0,49.8,51.0,True,"(50.2537455, 18.9383126)",40
"Centrum, Chorzów, śląskie","Chorzów, śląskie",2500.0,2500.0,,29.07,86.0,True,"(50.2916931, 18.942978)",39
"Centrum, Siemianowice Śląskie, śląskie","Siemianowice Śląskie, śląskie",2150.0,1650.0,500.0,61.43,35.0,True,"(50.2951929, 19.035367665389575)",34
"ul. Zofii Nałkowskiej, Janów-Nikiszowiec, Katowice, śląskie","Katowice, śląskie",2300.0,1900.0,400.0,65.71,35.0,True,"(50.2576071, 19.0171456)",38
"ul. Romualda Traugutta, Dańdówka, Sosnowiec, śląskie","Sosnowiec, śląskie",2050.0,1500.0,550.0,82.0,25.0,True,"(50.27895, 19.1263859)",35
"ul. gen. Kazimierza Pułaskiego, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",3250.0,2550.0,700.0,77.38,42.0,True,"(50.2576071, 19.0171456)",38
"Koszutka, Katowice, śląskie","Katowice, śląskie",1950.0,1950.0,,47.56,41.0,True,"(50.2679049, 19.0216151)",36
"ul. Legionów, Czeladź, będziński, śląskie","będziński, śląskie",2600.0,2000.0,600.0,74.29,35.0,True,"(50.31724945, 19.138881491319484)",32
"ul. Fiołków, Śródmieście, Katowice, śląskie","Katowice, śląskie",2100.0,1500.0,600.0,60.0,35.0,True,"(50.2576071, 19.0171456)",38
"Piekary Śląskie, śląskie","Piekary Śląskie, śląskie",1803.0,1480.0,323.0,39.2,46.0,True,"(50.3686759, 18.9325362)",25
"Centrum, Chorzów, śląskie","Chorzów, śląskie",2325.0,2000.0,325.0,61.18,38.0,True,"(50.2916931, 18.942978)",39
"ul. Klonowa, Koszutka, Katowice, śląskie","Katowice, śląskie",2650.0,2450.0,200.0,67.95,39.0,True,"(50.2576071, 19.0171456)",38
"ul. Tadeusza Kościuszki, Śródmieście, Katowice, śląskie","Katowice, śląskie",3020.0,2300.0,720.0,71.9,42.0,True,"(50.2576071, 19.0171456)",38
"ul. Ślusarska, Załęże, Katowice, śląskie","Katowice, śląskie",900.0,800.0,100.0,75.0,12.0,False,"(50.2576071, 19.0171456)",38
"ul. Francuska 21, Śródmieście, Katowice, śląskie","Katowice, śląskie",1198.0,1100.0,98.0,39.93,30.0,True,"(50.2576071, 19.0171456)",38
"ul. ks. Norberta Bończyka, Mysłowice, śląskie","Mysłowice, śląskie",2102.0,1300.0,802.0,53.9,39.0,True,"(50.2171942, 19.1235153)",36
"Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",2000.0,2000.0,,45.45,44.0,False,"(50.2727182, 18.9824049)",41
"ul. Mikołowska, Śródmieście, Katowice, śląskie","Katowice, śląskie",2200.0,2200.0,,70.97,31.0,True,"(50.2576071, 19.0171456)",38
"ul. ks. Piotra Skargi, Śródmieście, Katowice, śląskie","Katowice, śląskie",3000.0,3000.0,,35.71,84.0,True,"(50.2576071, 19.0171456)",38
"Zagórze Północ, Sosnowiec, śląskie","Sosnowiec, śląskie",2600.0,2400.0,200.0,57.78,45.0,True,"(50.27895, 19.1263859)",35
"ul. Tarnogórska, Piekary Śląskie, śląskie","Piekary Śląskie, śląskie",2200.0,2200.0,,22.0,100.0,True,"(50.3686759, 18.9325362)",25
"ul. ks. Prymasa Augusta Hlonda, Osiedle Generała Jerzego Ziętka, Bytom, śląskie","Bytom, śląskie",2600.0,1800.0,800.0,50.0,52.0,True,"(50.342812, 18.9120743)",31
"ul. marsz. Józefa Piłsudskiego, Śródmieście, Bytom, śląskie","Bytom, śląskie",1900.0,1900.0,,31.67,60.0,False,"(50.342812, 18.9120743)",31
"Śródmieście, Katowice, śląskie","Katowice, śląskie",3140.0,2650.0,490.0,64.08,49.0,True,"(50.259795, 19.0217063)",37
"ul. Słoneczna, Wełnowiec-Józefowiec, Katowice, śląskie","Katowice, śląskie",2995.0,2300.0,695.0,63.72,47.0,True,"(50.2576071, 19.0171456)",38
"ul. Bańgowska, Bańgów, Siemianowice Śląskie, śląskie","Siemianowice Śląskie, śląskie",2700.0,2350.0,350.0,61.36,44.0,True,"(50.2987309, 19.035211)",31
"ul. Gawronów, Brynów-Osiedle Zgrzebnioka, Katowice, śląskie","Katowice, śląskie",4150.0,3800.0,350.0,71.55,58.0,True,"(50.2576071, 19.0171456)",38
"ul. Szybowcowa, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",3550.0,2800.0,750.0,82.56,43.0,True,"(50.2576071, 19.0171456)",38
"ul. gen. Józefa Sowińskiego, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",2200.0,1650.0,550.0,50.0,44.0,True,"(50.2576071, 19.0171456)",38
"ul. Gabriela Narutowicza, Załęże, Katowice, śląskie","Katowice, śląskie",2380.0,2050.0,330.0,66.11,36.0,True,"(50.2576071, 19.0171456)",38
"Środula, Sosnowiec, śląskie","Sosnowiec, śląskie",2550.0,1850.0,700.0,51.0,50.0,True,"(50.3072222, 19.1569444)",32
"Śródmieście, Bytom, śląskie","Bytom, śląskie",2060.0,1800.0,260.0,42.92,48.0,False,"(50.3593826, 18.9223843)",26
"ul. gen. Kazimierza Pułaskiego, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",3201.0,3200.0,1.0,47.78,67.0,True,"(50.2576071, 19.0171456)",38
"cedrowa, Mysłowice, śląskie","Mysłowice, śląskie",2700.0,2700.0,,67.5,40.0,True,"(50.2171942, 19.1235153)",36
"Koszutka, Katowice, śląskie","Katowice, śląskie",2060.0,1500.0,560.0,45.78,45.0,True,"(50.2679049, 19.0216151)",36
"Śródmieście, Katowice, śląskie","Katowice, śląskie",2200.0,2200.0,,62.86,35.0,True,"(50.259795, 19.0217063)",37
"Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",5140.0,4250.0,890.0,76.72,67.0,True,"(50.251319, 19.0320693)",36
"Centrum, Chorzów, śląskie","Chorzów, śląskie",2500.0,2500.0,,29.07,86.0,True,"(50.2916931, 18.942978)",39
"ul. Barbary, Śródmieście, Katowice, śląskie","Katowice, śląskie",1850.0,1850.0,,41.11,45.0,True,"(50.2576071, 19.0171456)",38
"ul. Kaliska, Sielec, Sosnowiec, śląskie","Sosnowiec, śląskie",3900.0,3200.0,700.0,53.42,73.0,True,"(50.27895, 19.1263859)",35
"Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",5140.0,4250.0,890.0,76.72,67.0,True,"(50.251319, 19.0320693)",36
"ul. rtm. Witolda Pileckiego, Centrum / Śródmieście, Sosnowiec, śląskie","Sosnowiec, śląskie",2300.0,1700.0,600.0,48.94,47.0,True,"(50.27895, 19.1263859)",35
"ul. Meteorologów, Brynów-Osiedle Zgrzebnioka, Katowice, śląskie","Katowice, śląskie",4700.0,4700.0,,56.63,83.0,True,"(50.2576071, 19.0171456)",38
"ul. ks. bp. Stanisława Adamskiego, Śródmieście, Katowice, śląskie","Katowice, śląskie",2500.0,1700.0,800.0,50.0,50.0,True,"(50.2576071, 19.0171456)",38
"Korzeniec, Zielona Pogoria, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",2800.0,2800.0,,36.36,77.0,False,"(50.3464679, 19.1838715)",27
"ul. Podjazdowa, Milowice, Sosnowiec, śląskie","Sosnowiec, śląskie",1880.0,1300.0,580.0,40.87,46.0,True,"(50.27895, 19.1263859)",35
"Centrum, Chorzów, śląskie","Chorzów, śląskie",3200.0,3000.0,200.0,72.73,44.0,False,"(50.2916931, 18.942978)",39
"Kazimierza Wielkiego, Mysłowice, śląskie","Mysłowice, śląskie",2200.0,2200.0,,29.73,74.0,True,"(50.2171942, 19.1235153)",36
"ul. Gliwicka 105, Załęże, Katowice, śląskie","Katowice, śląskie",1300.0,1300.0,,76.47,17.0,True,"(50.2576071, 19.0171456)",38
"Sączów, Bobrowniki, będziński, śląskie","będziński, śląskie",3500.0,3500.0,,38.89,90.0,True,"(50.4218598, 19.0328737)",11
"Klimzowiec, Centrum, Chorzów, śląskie","Chorzów, śląskie",2000.0,2000.0,,80.0,25.0,True,"(50.2859309, 18.9536203)",40
"ul. Juliana Ordona, Koszutka, Katowice, śląskie","Katowice, śląskie",1756.0,1400.0,356.0,51.65,34.0,True,"(50.2576071, 19.0171456)",38
"ul. św. Jacka, Śródmieście, Katowice, śląskie","Katowice, śląskie",2500.0,2200.0,300.0,86.21,29.0,True,"(50.2576071, 19.0171456)",38
"Śródmieście, Katowice, śląskie","Katowice, śląskie",2470.0,2100.0,370.0,74.85,33.0,True,"(50.259795, 19.0217063)",37
"ul. Bytkowska, Wełnowiec-Józefowiec, Katowice, śląskie","Katowice, śląskie",2223.0,1950.0,273.0,88.92,25.0,True,"(50.2576071, 19.0171456)",38
"ul. Katowicka, Mysłowice, śląskie","Mysłowice, śląskie",2134.0,1900.0,234.0,48.5,44.0,True,"(50.2171942, 19.1235153)",36
"ul. Plebiscytowa, Śródmieście, Katowice, śląskie","Katowice, śląskie",1820.0,1700.0,120.0,91.0,20.0,True,"(50.2576071, 19.0171456)",38
"ul. Zygmunta Cieplaka, Reden, Reden, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",2120.0,2000.0,120.0,78.52,27.0,True,"(50.330374, 19.1848234)",32
"ul. Juliusza Słowackiego, Śródmieście, Katowice, śląskie","Katowice, śląskie",2500.0,2500.0,,44.64,56.0,True,"(50.2576071, 19.0171456)",38
"ul. Henryka Sienkiewicza, Centrum, Siemianowice Śląskie, śląskie","Siemianowice Śląskie, śląskie",1600.0,1600.0,,35.56,45.0,True,"(50.2987309, 19.035211)",31
"ul. Plebiscytowa, Śródmieście, Katowice, śląskie","Katowice, śląskie",2350.0,2200.0,150.0,102.17,23.0,True,"(50.2576071, 19.0171456)",38
"ul. Stefana Batorego, Śródmieście, Katowice, śląskie","Katowice, śląskie",3400.0,2900.0,500.0,50.75,67.0,True,"(50.2576071, 19.0171456)",38
"ul. kard. Stefana Wyszyńskiego, Centrum / Śródmieście, Sosnowiec, śląskie","Sosnowiec, śląskie",2301.0,2300.0,1.0,47.94,48.0,True,"(50.27895, 19.1263859)",35
"ul. Kornela Ujejskiego, Środula, Sosnowiec, śląskie","Sosnowiec, śląskie",2150.0,1450.0,700.0,69.35,31.0,True,"(50.27895, 19.1263859)",35
"ul. Graniczna, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",2400.0,1900.0,500.0,60.0,40.0,True,"(50.2576071, 19.0171456)",38
"Koszutka, Katowice, śląskie","Katowice, śląskie",3550.0,2900.0,650.0,71.0,50.0,True,"(50.2679049, 19.0216151)",36
"ul. Stefana Kisielewskiego, Zagórze Południe, Sosnowiec, śląskie","Sosnowiec, śląskie",1501.0,1500.0,1.0,34.11,44.0,True,"(50.27895, 19.1263859)",35
"Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",4500.0,4500.0,,56.25,80.0,True,"(50.2822072, 19.1189568)",32
"ul. Michała Grażyńskiego, Koszutka, Katowice, śląskie","Katowice, śląskie",3800.0,3000.0,800.0,59.38,64.0,True,"(50.2576071, 19.0171456)",38
"ul. Mariacka, Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",2250.0,1850.0,400.0,60.81,37.0,False,"(50.27895, 19.1263859)",35
"ul. Oswobodzenia 33, Janów-Nikiszowiec, Katowice, śląskie","Katowice, śląskie",2200.0,2200.0,,73.33,30.0,True,"(50.2576071, 19.0171456)",38
"ul. Józefowska, Wełnowiec-Józefowiec, Katowice, śląskie","Katowice, śląskie",2251.0,2250.0,1.0,37.52,60.0,True,"(50.2576071, 19.0171456)",38
"Świerklaniec, Świerklaniec, tarnogórski, śląskie","tarnogórski, śląskie",4500.0,4500.0,,31.25,144.0,True,"(50.4401204, 18.9004638)",22
"Wełnowiec-Józefowiec, Katowice, śląskie","Katowice, śląskie",3560.0,2900.0,660.0,64.73,55.0,True,"(50.2911077, 19.00786748480725)",35
"ul. Anieli Urbanowicz, Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",2601.0,2600.0,1.0,41.95,62.0,False,"(50.27895, 19.1263859)",35
"ul. Wysoka, Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",2201.0,2200.0,1.0,36.68,60.0,True,"(50.27895, 19.1263859)",35
"ul. Bohaterów Monte Cassino, Zawodzie, Katowice, śląskie","Katowice, śląskie",3120.0,2200.0,920.0,54.74,57.0,True,"(50.2576071, 19.0171456)",38
"Dąb, Katowice, śląskie","Katowice, śląskie",2980.0,2300.0,680.0,53.21,56.0,True,"(50.27602295, 18.99200291024328)",38
"Gołonóg, Gołonóg Północny, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",2200.0,2200.0,,40.74,54.0,True,"(50.3439791, 19.2262024)",31
"ul. 21 Listopada, Czeladź, będziński, śląskie","będziński, śląskie",698.0,698.0,,22.52,31.0,False,"(50.31724945, 19.138881491319484)",32
"ul. Wojciecha Korfantego, Rozbark, Bytom, śląskie","Bytom, śląskie",950.0,950.0,,23.17,41.0,True,"(50.342812, 18.9120743)",31
"ul. Johna Baildona, Dąb, Katowice, śląskie","Katowice, śląskie",3000.0,3000.0,,50.0,60.0,True,"(50.2576071, 19.0171456)",38
"ul. ks. Augustyna Kordeckiego, Centrum, Chorzów, śląskie","Chorzów, śląskie",950.0,950.0,,15.57,61.0,True,"(50.2537455, 18.9383126)",40
"ul. ks. Piotra Ściegiennego, Wełnowiec-Józefowiec, Katowice, śląskie","Katowice, śląskie",2600.0,2600.0,,108.33,24.0,True,"(50.2576071, 19.0171456)",38
"ul. Jana Wysockiego, Mysłowice, śląskie","Mysłowice, śląskie",2335.0,1850.0,485.0,64.86,36.0,True,"(50.2171942, 19.1235153)",36
"Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",2509.0,1899.0,610.0,51.2,49.0,False,"(50.2727182, 18.9824049)",41
"ul. Nadgórników, Bogucice, Katowice, śląskie","Katowice, śląskie",1501.0,1500.0,1.0,32.63,46.0,True,"(50.2576071, 19.0171456)",38
"Siewierz, Siewierz, będziński, śląskie","będziński, śląskie",2450.0,2000.0,450.0,70.0,35.0,True,"(50.47924, 19.2374613)",20
"ul. Warszawska, Śródmieście, Katowice, śląskie","Katowice, śląskie",2530.0,2100.0,430.0,35.63,71.0,True,"(50.2576071, 19.0171456)",38
"ul. Johna Baildona, Dąb, Katowice, śląskie","Katowice, śląskie",2900.0,2400.0,500.0,72.5,40.0,True,"(50.2576071, 19.0171456)",38
"ul. Barbary, Śródmieście, Katowice, śląskie","Katowice, śląskie",1850.0,1850.0,,41.11,45.0,True,"(50.2576071, 19.0171456)",38
"ul. ks. Ignacego Siwca 10, Tarnowskie Góry, tarnogórski, śląskie","tarnogórski, śląskie",2593.0,2300.0,293.0,56.37,46.0,True,"(50.441837, 18.8565784)",28
"ul. Wojciecha, Giszowiec, Katowice, śląskie","Katowice, śląskie",2501.0,2500.0,1.0,41.68,60.0,True,"(50.2576071, 19.0171456)",38
"Czeladź, będziński, śląskie","będziński, śląskie",1980.0,1250.0,730.0,58.24,34.0,True,"(50.31879875, 19.09582409097177)",29
